timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1679206211.140805,2,10.0.0.73528810.0.0.1806,10.0.0.7,35288,10.0.0.1,80,6,0,8,4,507000000,20,100,0,11,842,2.75,2.1696252465483236e-08,210.5,1.660749506903353e-06,0
1679206211.140805,2,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,0,8,24,616000000,20,100,0,931768,53337677944,38823.666666666664,0.0015126103896103897,2222403247.6666665,86.58713951948052,0
1679206211.140805,2,10.0.0.75117910.0.0.1505117,10.0.0.7,51179,10.0.0.1,5051,17,0,8,14,562000000,20,100,0,893,1350216,63.785714285714285,1.588967971530249e-06,96444.0,0.0024025195729537366,0
1679206211.141082,1,10.0.0.1010.0.0.1501,10.0.0.1,0,10.0.0.15,0,1,0,8,4,244000000,20,100,0,4,392,1.0,1.639344262295082e-08,98.0,1.6065573770491803e-06,0
1679206211.141082,1,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,0,8,24,614000000,20,100,0,206517,13630134,8604.875,0.00033634690553745926,567922.25,0.022198915309446253,0
1679206211.141082,1,10.0.0.18010.0.0.7352886,10.0.0.1,80,10.0.0.7,35288,6,0,8,4,504000000,20,100,0,11,1046,2.75,2.1825396825396826e-08,261.5,2.0753968253968255e-06,0
1679206211.141082,1,10.0.0.18010.0.0.7352906,10.0.0.1,80,10.0.0.7,35290,6,0,8,4,492000000,20,100,0,3162,60549662,790.5,6.426829268292683e-06,15137415.5,0.12306841869918698,0
1679206211.141082,1,10.0.0.1505110.0.0.75117917,10.0.0.1,5051,10.0.0.7,51179,17,0,8,4,533000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1679206211.141082,1,10.0.0.15505110.0.0.1511791,10.0.0.15,5051,10.0.0.1,51179,1,0,0,4,238000000,20,100,0,4,392,1.0,1.680672268907563e-08,98.0,1.6470588235294118e-06,0
1679206211.141082,1,10.0.0.73529010.0.0.1806,10.0.0.7,35290,10.0.0.1,80,6,0,0,4,493000000,20,100,0,1866,125430,466.5,3.78498985801217e-06,31357.5,0.000254421906693712,0
1679206211.141082,1,10.0.0.73528810.0.0.1806,10.0.0.7,35288,10.0.0.1,80,6,0,0,4,505000000,20,100,0,11,842,2.75,2.178217821782178e-08,210.5,1.6673267326732674e-06,0
1679206211.141082,1,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,0,0,24,615000000,20,100,0,931772,53337678208,38823.833333333336,0.0015150764227642277,2222403258.6666665,86.72793204552846,0
1679206211.141082,1,10.0.0.75117910.0.0.1505117,10.0.0.7,51179,10.0.0.1,5051,17,0,0,14,561000000,20,100,0,893,1350216,63.785714285714285,1.591800356506239e-06,96444.0,0.002406802139037433,0
1679206211.141198,5,10.0.0.1010.0.0.1501,10.0.0.1,0,10.0.0.15,0,1,0,8,4,241000000,20,100,0,4,392,1.0,1.6597510373443982e-08,98.0,1.6265560165975103e-06,0
1679206211.141198,5,10.0.0.15010.0.0.101,10.0.0.15,0,10.0.0.1,0,1,0,0,4,240000000,20,100,0,4,392,1.0,1.6666666666666667e-08,98.0,1.6333333333333333e-06,0
1679206221.138869,4,10.0.0.1010.0.0.1501,10.0.0.1,0,10.0.0.15,0,1,0,8,14,243000000,20,100,0,14,1372,1.0,5.7613168724279836e-08,98.0,5.646090534979424e-06,0
